D,0km,100km,300km,600km
2,13.75,12.9,7.91,4.01
4,13.75,13.49,10.96,6.91
6,13.74,13.58,11.95,8.6
8,13.72,13.6,12.25,9.48
10,13.7,13.59,12.26,9.9
12,13.67,13.29,12.12,10.05
14,13.64,12.91,11.03,10.06
16,12.92,12.43,10.91,9.17
18,12.33,10.97,10.73,9.1
20,10.9,10.81,10.5,9.02
22,10.7,10.58,9.12,8.9
24,9.14,9.11,9.03,8.83
26,9.06,9.02,8.91,8.76
28,8.93,8.9,8.83,8.66
30,8.85,8.82,8.75,8.56
32,8.77,8.74,8.65,8.45
34,8.67,8.64,8.54,8.33
36,8.56,8.52,8.42,8.21
38,8.44,8.4,8.29,8.08
40,8.3,8.26,8.16,7.95
42,8.17,8.13,8.03,7.82
44,8.03,7.99,7.89,7.69
46,7.89,7.85,7.75,7.56
48,7.55,7.71,7.61,7.42
50,7.6,7.56,7.47,7.29
52,7.46,7.42,7.33,7.15
54,7.31,7.28,7.19,7.02
56,7.17,7.13,7.05,6.88
58,7.02,6.99,6.9,6.74
60,6.88,6.84,6.76,6.61
62,6.73,6.7,6.62,6.47
64,6.59,6.55,6.48,6.33
66,6.44,6.41,6.33,6.19
68,6.3,6.27,6.19,6.05
70,6.15,6.12,6.05,5.91
72,6,5.97,5.9,5.77
74,5.86,5.83,5.76,5.63
76,5.71,5.68,5.61,5.49
78,5.56,5.53,5.46,5.34
80,5.4,5.38,5.31,5.2
82,5.25,5.22,5.16,5.04
84,5.09,5.07,5.01,4.9
86,4.94,4.92,4.85,4.72
88,4.74,4.72,4.69,4.65
90,4.66,4.65,4.64,4.61
92,4.61,4.61,4.6,4.57
94,4.58,4.57,4.55,4.51
96,4.52,4.51,4.49,4.44
98,4.45,4.44,4.44,4.44
